Region,Postnummer,Priser Autoringen,Sub Region,latitude,longitude,Foreslått Autoringen Pris
Bergen,5105,519,Eidsvåg I Åsane,60.4944,5.3032,580.0
Bergen,5106,519,Øvre Ervik,60.4944,5.3032,580.0
Bergen,5107,519,Salhus,60.5059,5.2674,580.0
Bergen,5108,519,Hordvik,60.5183,5.2997,580.0
Bergen,5109,519,Hylkje,60.5103,5.3544,580.0
Bergen,5111,519,Breistein,60.4862,5.4038,580.0
Bergen,5113,519,Tertnes,60.4577,5.2884,580.0
Bergen,5114,519,Tertnes,60.4577,5.2884,580.0
Bergen,5115,519,Ulset,60.4757,5.3172,580.0
Bergen,5116,519,Ulset,60.4757,5.3172,580.0
Bergen,5117,519,Ulset,60.4757,5.3172,580.0
Bergen,5118,519,Ulset,60.4757,5.3172,580.0
Bergen,5119,519,Ulset,60.4757,5.3172,580.0
Bergen,5121,519,Ulset,60.4757,5.3172,580.0
Bergen,5122,519,Morvik,60.4699,5.275,580.0
Bergen,5124,519,Morvik,60.4699,5.275,580.0
Bergen,5130,519,Nyborg,60.4684,5.3358,580.0
Bergen,5131,519,Nyborg,60.4684,5.3358,580.0
Bergen,5132,519,Nyborg,60.4684,5.3358,580.0
Bergen,5134,519,Flaktveit,60.4653,5.3599,580.0
Bergen,5135,519,Flaktveit,60.4653,5.3599,580.0
Bergen,5136,519,Mjølkeråen,60.4903,5.267,580.0
Bergen,5137,519,Mjølkeråen,60.4903,5.267,580.0
Bergen,5141,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5142,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5143,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5144,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5145,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5146,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5147,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5148,519,Fyllingsdalen,60.4193,5.2856,580.0
Bergen,5151,519,Straumsgrend,60.3244,5.2687,580.0
Bergen,5152,519,Bønes,60.3266,5.3024,580.0
Bergen,5153,519,Bønes,60.3266,5.3024,580.0
Bergen,5154,519,Bønes,60.3266,5.3024,580.0
Bergen,5155,519,Bønes,60.3266,5.3024,580.0
Bergen,5164,519,Laksevåg,60.3867,5.298,580.0
Bergen,5165,519,Laksevåg,60.3867,5.298,580.0
Bergen,5170,519,Bjørndalstræ,60.3578,5.2447,580.0
Bergen,5171,519,Loddefjord,60.3688,5.2261,580.0
Bergen,5172,519,Loddefjord,60.3688,5.2261,580.0
Bergen,5173,519,Loddefjord,60.3688,5.2261,580.0
Bergen,5174,519,Mathopen,60.3339,5.2128,580.0
Bergen,5176,519,Loddefjord,60.3688,5.2261,580.0
Bergen,5178,519,Loddefjord,60.3688,5.2261,580.0
Bergen,5179,519,Godvik,60.3786,5.1983,580.0
Bergen,5183,519,Olsvik,60.3862,5.2113,580.0
Bergen,5184,519,Olsvik,60.3862,5.2113,580.0
Bergen,5221,519,Nesttun,60.3182,5.3532,580.0
Bergen,5222,519,Nesttun,60.3182,5.3532,580.0
Bergen,5223,519,Nesttun,60.3182,5.3532,580.0
Bergen,5230,519,Paradis,60.3366,5.3461,580.0
Bergen,5231,519,Paradis,60.3366,5.3461,580.0
Bergen,5232,519,Paradis,60.3366,5.3461,580.0
Bergen,5235,519,Rådal,60.3106,5.3455,580.0
Bergen,5236,519,Rådal,60.3106,5.3455,580.0
Bergen,5237,519,Rådal,60.3106,5.3455,580.0
Bergen,5251,519,Søreidgrend,60.3152,5.2712,580.0
Bergen,5252,519,Søreidgrend,60.3152,5.2712,580.0
Bergen,5253,519,Sandsli,60.3032,5.2855,580.0
Bergen,5254,519,Sandsli,60.3032,5.2855,580.0
Bergen,5003,519,Bergen,60.393,5.3242,580.0
Bergen,5004,519,Bergen,60.393,5.3242,580.0
Bergen,5005,519,Bergen,60.393,5.3242,580.0
Bergen,5006,519,Bergen,60.393,5.3242,580.0
Bergen,5007,519,Bergen,60.393,5.3242,580.0
Bergen,5008,519,Bergen,60.393,5.3242,580.0
Bergen,5009,519,Bergen,60.393,5.3242,580.0
Bergen,5010,519,Bergen,60.393,5.3242,580.0
Bergen,5011,519,Bergen,60.393,5.3242,580.0
Bergen,5012,519,Bergen,60.393,5.3242,580.0
Bergen,5013,519,Bergen,60.393,5.3242,580.0
Bergen,5014,519,Bergen,60.393,5.3242,580.0
Bergen,5015,519,Bergen,60.393,5.3242,580.0
Bergen,5016,519,Bergen,60.393,5.3242,580.0
Bergen,5017,519,Bergen,60.393,5.3242,580.0
Bergen,5018,519,Bergen,60.393,5.3242,580.0
Bergen,5019,519,Bergen,60.393,5.3242,580.0
Bergen,5021,519,Bergen,60.393,5.3242,580.0
Bergen,5022,519,Bergen,60.393,5.3242,580.0
Bergen,5031,519,Bergen,60.393,5.3242,580.0
Bergen,5032,519,Bergen,60.393,5.3242,580.0
Bergen,5033,519,Bergen,60.393,5.3242,580.0
Bergen,5034,519,Bergen,60.393,5.3242,580.0
Bergen,5035,519,Bergen,60.393,5.3242,580.0
Bergen,5036,519,Bergen,60.393,5.3242,580.0
Bergen,5037,519,Bergen,60.393,5.3242,580.0
Bergen,5038,519,Bergen,60.393,5.3242,580.0
Bergen,5039,519,Bergen,60.393,5.3242,580.0
Bergen,5041,519,Bergen,60.393,5.3242,580.0
Bergen,5042,519,Bergen,60.393,5.3242,580.0
Bergen,5043,519,Bergen,60.393,5.3242,580.0
Bergen,5045,519,Bergen,60.393,5.3242,580.0
Bergen,5052,519,Bergen,60.393,5.3242,580.0
Bergen,5053,519,Bergen,60.393,5.3242,580.0
Bergen,5054,519,Bergen,60.393,5.3242,580.0
Bergen,5055,519,Bergen,60.393,5.3242,580.0
Bergen,5056,519,Bergen,60.393,5.3242,580.0
Bergen,5057,519,Bergen,60.393,5.3242,580.0
Bergen,5058,519,Bergen,60.393,5.3242,580.0
Bergen,5059,519,Bergen,60.393,5.3242,580.0
Bergen,5063,519,Bergen,60.393,5.3242,580.0
Bergen,5067,519,Bergen,60.393,5.3242,580.0
Bergen,5068,519,Bergen,60.393,5.3242,580.0
Bergen,5072,519,Bergen,60.393,5.3242,580.0
Bergen,5073,519,Bergen,60.393,5.3242,580.0
Bergen,5075,519,Bergen,60.393,5.3242,580.0
Bergen,5081,519,Bergen,60.393,5.3242,580.0
Bergen,5082,519,Bergen,60.393,5.3242,580.0
Bergen,5089,519,Bergen,60.393,5.3242,580.0
Bergen,5093,519,Bergen,60.393,5.3242,580.0
Bergen,5094,519,Bergen,60.393,5.3242,580.0
Bergen,5096,519,Bergen,60.393,5.3242,580.0
Bergen,5097,519,Bergen,60.393,5.3242,580.0
Bergen,5160,519,Laksevåg,60.3867,5.298,580.0
Bergen,5161,519,Laksevåg,60.3867,5.298,580.0
Bergen,5162,519,Laksevåg,60.3867,5.298,580.0
Bergen,5163,519,Laksevåg,60.3867,5.298,580.0
Trondheim,7224,519,Melhus,63.2856,10.2781,580.0
Trondheim,7225,519,,,,580.0
Trondheim,7226,519,,,,580.0
Trondheim,7227,519,Gimse,63.272,10.279,580.0
Trondheim,7550,519,Hommelvik,63.4108,10.7942,580.0
Trondheim,7563,519,Malvik,63.4333,10.6833,580.0
Trondheim,7560,519,Vikhammer,63.4373,10.6266,580.0
Trondheim,7562,519,Saksvik,63.4333,10.6,580.0
Trondheim,7000,519,,,,580.0
Trondheim,7001,519,,,,580.0
Trondheim,7003,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7004,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7005,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7006,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7007,519,,,,580.0
Trondheim,7008,519,,,,580.0
Trondheim,7009,519,,,,580.0
Trondheim,7010,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7011,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7012,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7013,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7014,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7015,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7016,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7017,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7018,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7019,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7020,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7021,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7022,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7023,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7024,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7025,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7026,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7027,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7028,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7029,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7030,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7031,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7032,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7033,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7034,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7035,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7036,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7037,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7038,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7039,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7040,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7041,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7042,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7043,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7044,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7045,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7046,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7047,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7048,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7049,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7050,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7051,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7052,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7053,519,Ranheim,63.4286,10.5382,580.0
Trondheim,7054,519,Ranheim,63.4286,10.5382,580.0
Trondheim,7055,519,Ranheim,63.4286,10.5382,580.0
Trondheim,7056,519,Ranheim,63.4286,10.5382,580.0
Trondheim,7057,519,Jonsvatnet,63.3886,10.5741,580.0
Trondheim,7059,519,Jakobsli,63.4133,10.491,580.0
Trondheim,7066,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7067,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7068,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7069,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7071,519,Trondheim,63.4305,10.3951,580.0
Trondheim,7075,519,Tiller,63.3397,10.4203,580.0
Trondheim,7078,519,Saupstad,63.3671,10.3526,580.0
Trondheim,7079,519,Flatåsen,63.3806,10.3463,580.0
Trondheim,7081,519,Sjetnemarka,63.344,10.343,580.0
Trondheim,7088,519,Heimdal,63.35,10.3583,580.0
Trondheim,7091,519,Tiller,63.3397,10.4203,580.0
Trondheim,7097,519,Saupstad,63.3671,10.3526,580.0
Trondheim,7098,519,Saupstad,63.3671,10.3526,580.0
Trondheim,7099,519,Flatåsen,63.3806,10.3463,580.0
Stavanger,4005,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4006,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4007,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4008,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4009,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4010,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4011,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4012,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4013,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4014,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4015,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4016,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4017,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4018,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4019,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4020,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4021,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4022,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4023,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4024,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4025,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4026,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4027,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4028,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4029,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4031,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4032,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4033,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4034,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4035,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4036,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4041,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4042,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4043,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4044,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4045,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4046,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4047,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4048,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4049,519,Hafrsfjord,58.9594,5.7036,580.0
Stavanger,4064,519,,,,580.0
Stavanger,4065,519,,,,580.0
Stavanger,4066,519,,,,580.0
Stavanger,4067,519,,,,580.0
Stavanger,4068,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4069,519,,,,580.0
Stavanger,4076,519,Vassøy,58.9897,5.6569,580.0
Stavanger,4077,519,Hundvåg,58.9897,5.6569,580.0
Stavanger,4078,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4079,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4080,519,,,,580.0
Stavanger,4081,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4082,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4083,519,Hundvåg,58.9701,5.7333,580.0
Stavanger,4084,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4085,519,Hundvåg,58.9701,5.7333,580.0
Stavanger,4086,519,Hundvåg,58.9701,5.7333,580.0
Stavanger,4087,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4088,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4089,519,Hafrsfjord,58.9701,5.7333,580.0
Stavanger,4090,519,Hafrsfjord,58.9593,5.689,580.0
Stavanger,4091,519,Hafrsfjord,58.9593,5.689,580.0
Stavanger,4092,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4093,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4094,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4095,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4099,519,Stavanger,58.9701,5.7333,580.0
Stavanger,4050,519,Sola,58.8885,5.6528,580.0
Stavanger,4051,519,Sola,58.8885,5.6528,580.0
Stavanger,4052,519,Røyneberg,58.9097,5.6675,580.0
Stavanger,4053,519,Ræge,58.9039,5.6237,580.0
Stavanger,4054,519,Tjelta,58.8415,5.5977,580.0
Stavanger,4055,519,Sola,58.8885,5.6528,580.0
Stavanger,4056,519,Tananger,58.9362,5.5741,580.0
Stavanger,4057,519,Tananger,58.9362,5.5741,580.0
Stavanger,4058,519,Tananger,58.9362,5.5741,580.0
Stavanger,4059,519,Røyneberg,58.9097,5.6675,580.0
Stavanger,4060,519,,,,580.0
Stavanger,4062,519,,,,580.0
Stavanger,4063,519,Tjelta,58.8415,5.5977,580.0
Stavanger,4096,519,Randaberg,58.9995,5.6187,580.0
Stavanger,4097,519,Sola,58.8885,5.6528,580.0
Stavanger,4300,519,,,,580.0
Stavanger,4301,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4302,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4303,519,,,,580.0
Stavanger,4304,519,,,,580.0
Stavanger,4305,519,,,,580.0
Stavanger,4306,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4307,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4308,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4309,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4310,519,Hommersåk,58.9256,5.851,580.0
Stavanger,4311,519,Hommersåk,58.9256,5.851,580.0
Stavanger,4312,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4313,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4314,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4315,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4316,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4317,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4318,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4319,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4320,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4321,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4322,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4323,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4324,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4325,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4326,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4327,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4328,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4329,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4332,519,Figgjo,58.7866,5.8155,580.0
Stavanger,4336,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4337,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4338,519,Sandnes,58.8524,5.7352,580.0
Stavanger,4070,519,Randaberg,58.9995,5.6187,580.0
Stavanger,4071,519,Randaberg,58.9995,5.6187,580.0
Stavanger,4072,519,Randaberg,58.9995,5.6187,580.0
Stavanger,4073,519,Randaberg,58.9995,5.6187,580.0
Stavanger,4340,519,Bryne,58.7354,5.6477,580.0
Stavanger,4341,519,Bryne,58.7652,5.5985,580.0
Stavanger,4343,519,Orre,58.7333,5.5333,580.0
Stavanger,4344,519,Bryne,58.7354,5.6477,580.0
Stavanger,4345,519,Bryne,58.7354,5.6477,580.0
Stavanger,4350,519,Kleppe,58.7742,5.6294,580.0
Stavanger,4351,519,Kleppe,58.7742,5.6294,580.0
Stavanger,4352,519,Kleppe,58.7742,5.6294,580.0
Stavanger,4354,519,Voll,58.806,5.605,580.0
Stavanger,4357,519,Klepp Stasjon,58.7728,5.6773,580.0
Stavanger,4358,519,Kleppe,58.7742,5.6294,580.0
Stavanger,4365,519,Nærbø,58.6655,5.6379,580.0
Stavanger,4360,519,Varhaug,58.6181,5.657,580.0
Stavanger,4120,519,Tau,59.0648,5.9225,580.0
Stavanger,4100,519,Jørpeland,59.0225,6.0408,580.0
Stavanger,4102,519,Idse,58.9833,5.95,580.0
Stavanger,4103,519,Jørpeland,59.0225,6.0408,580.0
Stavanger,4104,519,Jørpeland,59.0225,6.0408,580.0
Stavanger,4105,519,Jørpeland,59.0225,6.0408,580.0
Stavanger,4330,519,Ålgård,58.7642,5.8525,580.0
Stavanger,4355,519,Kvernaland,58.7707,5.7262,580.0
Skedsmo,1,519,Oslo,59.9127,10.7461,580.0
Skedsmo,10,519,Oslo,59.9127,10.7461,580.0
Skedsmo,14,519,,,,580.0
Skedsmo,15,519,Oslo,59.9127,10.7461,580.0
Skedsmo,16,519,,,,580.0
Skedsmo,18,519,Oslo,59.9127,10.7461,580.0
Skedsmo,19,519,,,,580.0
Skedsmo,20,519,,,,580.0
Skedsmo,21,519,Oslo,59.9127,10.7461,580.0
Skedsmo,22,519,,,,580.0
Skedsmo,23,519,,,,580.0
Skedsmo,24,519,Oslo,59.9127,10.7461,580.0
Skedsmo,25,519,,,,580.0
Skedsmo,26,519,Oslo,59.9127,10.7461,580.0
Skedsmo,27,519,,,,580.0
Skedsmo,28,519,Oslo,59.9127,10.7461,580.0
Skedsmo,30,519,Oslo,59.9127,10.7461,580.0
Skedsmo,31,519,Oslo,59.9127,10.7461,580.0
Skedsmo,32,519,Oslo,59.9127,10.7461,580.0
Skedsmo,33,519,Oslo,59.9127,10.7461,580.0
Skedsmo,34,519,Oslo,59.9127,10.7461,580.0
Skedsmo,35,519,,,,580.0
Skedsmo,37,519,Oslo,59.9127,10.7461,580.0
Skedsmo,40,519,,,,580.0
Skedsmo,41,519,,,,580.0
Skedsmo,42,519,,,,580.0
Skedsmo,43,519,,,,580.0
Skedsmo,45,519,Oslo,59.9127,10.7461,580.0
Skedsmo,46,519,,,,580.0
Skedsmo,47,519,,,,580.0
Skedsmo,48,519,Oslo,59.9127,10.7461,580.0
Skedsmo,50,519,Oslo,59.9127,10.7461,580.0
Skedsmo,51,519,,,,580.0
Skedsmo,55,519,Oslo,59.9127,10.7461,580.0
Skedsmo,56,519,,,,580.0
Skedsmo,60,519,,,,580.0
Skedsmo,61,519,,,,580.0
Skedsmo,62,519,,,,580.0
Skedsmo,63,519,,,,580.0
Skedsmo,64,519,,,,580.0
Skedsmo,65,519,,,,580.0
Skedsmo,66,519,,,,580.0
Skedsmo,67,519,,,,580.0
Skedsmo,68,519,,,,580.0
Skedsmo,69,519,,,,580.0
Skedsmo,70,519,,,,580.0
Skedsmo,71,519,,,,580.0
Skedsmo,72,519,,,,580.0
Skedsmo,73,519,,,,580.0
Skedsmo,74,519,,,,580.0
Skedsmo,75,519,,,,580.0
Skedsmo,76,519,,,,580.0
Skedsmo,77,519,,,,580.0
Skedsmo,78,519,,,,580.0
Skedsmo,79,519,,,,580.0
Skedsmo,81,519,,,,580.0
Skedsmo,85,519,,,,580.0
Skedsmo,101,519,Oslo,59.9127,10.7461,580.0
Skedsmo,102,519,Oslo,59.9127,10.7461,580.0
Skedsmo,103,519,Oslo,59.9127,10.7461,580.0
Skedsmo,104,519,Oslo,59.9127,10.7461,580.0
Skedsmo,105,519,Oslo,59.9127,10.7461,580.0
Skedsmo,106,519,Oslo,59.9127,10.7461,580.0
Skedsmo,107,519,Oslo,59.9127,10.7461,580.0
Skedsmo,108,519,,,,580.0
Skedsmo,109,519,Oslo,59.9127,10.7461,580.0
Skedsmo,110,519,Oslo,59.9127,10.7461,580.0
Skedsmo,111,519,Oslo,59.9127,10.7461,580.0
Skedsmo,112,519,Oslo,59.9127,10.7461,580.0
Skedsmo,113,519,Oslo,59.9127,10.7461,580.0
Skedsmo,114,519,Oslo,59.9127,10.7461,580.0
Skedsmo,115,519,Oslo,59.9127,10.7461,580.0
Skedsmo,116,519,Oslo,59.9127,10.7461,580.0
Skedsmo,117,519,Oslo,59.9127,10.7461,580.0
Skedsmo,118,519,Oslo,59.9127,10.7461,580.0
Skedsmo,119,519,Oslo,59.9127,10.7461,580.0
Skedsmo,120,519,Oslo,59.9127,10.7461,580.0
Skedsmo,121,519,Oslo,59.9127,10.7461,580.0
Skedsmo,122,519,Oslo,59.9127,10.7461,580.0
Skedsmo,123,519,Oslo,59.9127,10.7461,580.0
Skedsmo,124,519,Oslo,59.9127,10.7461,580.0
Skedsmo,125,519,Oslo,59.9127,10.7461,580.0
Skedsmo,126,519,,,,580.0
Skedsmo,127,519,,,,580.0
Skedsmo,128,519,Oslo,59.9127,10.7461,580.0
Skedsmo,129,519,Oslo,59.9127,10.7461,580.0
Skedsmo,130,519,Oslo,59.9127,10.7461,580.0
Skedsmo,131,519,Oslo,59.9127,10.7461,580.0
Skedsmo,132,519,Oslo,59.9127,10.7461,580.0
Skedsmo,133,519,Oslo,59.9127,10.7461,580.0
Skedsmo,134,519,Oslo,59.9127,10.7461,580.0
Skedsmo,135,519,Oslo,59.9127,10.7461,580.0
Skedsmo,136,519,Oslo,59.9127,10.7461,580.0
Skedsmo,137,519,,,,580.0
Skedsmo,138,519,Oslo,59.9127,10.7461,580.0
Skedsmo,139,519,Oslo,59.9127,10.7461,580.0
Skedsmo,140,519,Oslo,59.9127,10.7461,580.0
Skedsmo,150,519,Oslo,59.9127,10.7461,580.0
Skedsmo,151,519,Oslo,59.9127,10.7461,580.0
Skedsmo,152,519,Oslo,59.9127,10.7461,580.0
Skedsmo,153,519,Oslo,59.9127,10.7461,580.0
Skedsmo,154,519,Oslo,59.9127,10.7461,580.0
Skedsmo,155,519,Oslo,59.9127,10.7461,580.0
Skedsmo,157,519,Oslo,59.9127,10.7461,580.0
Skedsmo,158,519,Oslo,59.9127,10.7461,580.0
Skedsmo,159,519,Oslo,59.9127,10.7461,580.0
Skedsmo,160,519,Oslo,59.9127,10.7461,580.0
Skedsmo,161,519,Oslo,59.9127,10.7461,580.0
Skedsmo,162,519,Oslo,59.9127,10.7461,580.0
Skedsmo,164,519,Oslo,59.9127,10.7461,580.0
Skedsmo,165,519,Oslo,59.9127,10.7461,580.0
Skedsmo,166,519,Oslo,59.9127,10.7461,580.0
